Codigo_do_alimento;Descricao_do_alimento
8506801;Quiche
8506901;Sufle 
8507001;Tutu 
8507101;Moqueca capixaba 
8507201;Manicoba 
8507301;Caldo verde 
8507401;Arroz de cuxa
8507501;Angu à baiana
8507601;Chocolate
8507701;Gemada 
8507801;Acai com granola
8507901;Suco organico 
8507902;Suco de abacaxi organico 
8507903;Suco de acerola organico 
8507906;Suco de goiaba organico 
8507907;Suco de laranja organico 
8507911;Suco de laranja cenoura e beterraba organico 
8507913;Suco de manga organico 
8507914;Suco de maracuja organico 
8507916;Suco de morango organico 
8507917;Suco de pessego organico 
8507918;Suco de pessego em calda organico 
8508003;Pizza pronta light 
8508004;Lasanha pronta light 
8508012;Macarrao pronto light 
8508017;Pizza portuguesa light
8508101;Farofa pronta light em pacote
8508301;Vaca atolada
8508401;Salada ou verdura crua, exceto de fruta
8508403;Outros legumes cozidos
8509801;Cafe da manha
8570101;Prato de comida brasileira
8570102;Prato de comida do nordeste
8570103;Prato de comida do norte
8570104;Prato de comida do sudeste
8570105;Prato de comida do sul
8570106;Prato de comida do centro oeste
8570107;Arroz com feijao
8570328;Pao com manteiga
8570329;Pao com margarina
8570330;Pao com ovo
8571110;Carne com batata, inhame, batata baroa ou aipim 
8571111;Carne com legumes (exceto batata, inhame e aipim)
8571112;Frango com batata, inhame batata baroa ou aipim
8571113;Frango com legumes (exceto batata, inhame e aipim)
8578404;Abobora com quiabo
8579002;Arroz carreteiro
8579003;Maria izabel
8579004;Arroz de leite
8579005;Arroz com mandioca
8579006;Arroz com ovo
8800109;Palma 
